"我們在天上的父，"                         ,"congregation","hangingIndent"
"願祢的名被尊為聖。"                      ,"congregation","indent"
"願祢的國降臨，"                          ,"congregation","indent"
"願祢的旨意行在地上，"                    ,"congregation","indent"
"如同行在天上。"                          ,"congregation","indent"
"我們日用的飲食，今日賜給我們。"          ,"congregation","hangingIndent"
"饒恕我們的罪，"                          ,"congregation","hangingIndent"
"如同我們饒恕"                            ,"congregation","indent"
"得罪我們的人。"                          ,"congregation","indent"
"不叫我們遇見試探，"                      ,"congregation","hangingIndent"
"拯救我們脫離凶惡。"                      ,"congregation","indent"
"因為國度、權柄、榮耀，"                  ,"congregation","hangingIndent"
"都是祢的，"                              ,"congregation","indent"
"從現在直到永遠。阿們。"                  ,"congregation","indent"
