"我們在天上之父，"                         ,"congregation","hangingIndent",
"願人皆尊父名為聖。"                      ,"congregation","indent"
"願父國降臨，"                            ,"congregation","indent"
"願父旨意成就在地，"                      ,"congregation","indent"
"如同成就在天。"                          ,"congregation","indent"       ,
"我們日用之飲食，求父今日賜與我們。"      ,"congregation","hangingIndent",,
"又求饒恕我們之罪，"                      ,"congregation","hangingIndent",
"如我們饒恕"                              ,"congregation","indent"
"得罪我們之人。"                          ,"congregation","indent"       ,
"保祐我們，不入誘惑；"                    ,"congregation","hangingIndent",
"拯救我們，脫離凶惡。"                    ,"congregation","indent"       ,
"因為國度、權柄、榮耀，"                  ,"congregation","hangingIndent",
"皆屬於父，"                              ,"congregation","indent"
"永無窮盡。阿們。"                        ,"congregation","indent"
